#Table1
objID,ra,dec,u,g,r,i,z
1237651800161779954,153.324289986565,-0.735496528003326,19.8588,18.4342,17.5282,17.07544,16.72212
1237648720145285165,153.290221662828,-0.968549972718199,19.47199,17.42691,16.61283,16.17921,15.8719
1237654669200195695,153.310104072282,-0.778158210824615,18.22919,16.44275,15.6178,15.22499,14.93202
1237648720145285403,153.256578651005,-0.910025179825158,19.76164,17.93988,17.12125,16.75595,16.48944
1237648720145285392,153.251228535492,-0.849422977357229,19.06456,16.96775,16.03289,15.58178,15.22484
1237648720145350668,153.379287757753,-0.946913548121108,19.48899,17.41442,16.53151,16.09722,15.76293
1237648720145350673,153.445048715563,-0.914261874204863,20.59098,18.27861,17.42678,16.87826,16.56144
1237648720145350674,153.426075777506,-0.907198326395588,19.15083,17.24823,16.42647,16.02654,15.74605
1237648720145350675,153.422947876157,-0.922294325357193,19.41016,17.55801,16.6874,16.28056,15.98519
1237648720145350676,153.4314269454,-0.918325538995862,24.63468,18.7128,17.91797,18.3871,22.82691
1237648720145350680,153.42835580474,-0.936942908422156,19.17395,17.25643,16.45706,16.08262,15.89245
1237648720145285371,153.246748354657,-0.892465697084071,17.86951,15.92876,15.06304,14.64486,14.31962
1237648720145350759,153.357007843263,-0.909843218806225,18.59245,16.59151,15.69045,15.26522,14.92586
1237648720145350780,153.382431874067,-0.998763432896882,18.41643,16.45271,15.5719,15.11834,14.75232
1237648720145350782,153.382988438152,-0.999834426709496,20.10407,18.35202,17.47907,17.14215,17.26427
1237648720145350835,153.481954181753,-0.886218729848703,18.00971,16.17976,15.31786,14.89625,14.56333
1237648720145350856,153.351991599205,-0.842737101036238,18.25082,16.26359,15.36077,14.93125,14.58854
1237648720145350899,153.401991785196,-0.980412514631768,19.59702,17.63375,16.77292,16.36498,16.09855
1237648720145350907,153.410048270633,-0.882002820743006,19.27441,17.39498,16.53743,16.14068,15.82972
1237648720145350917,153.417098594503,-0.863705547803251,18.76879,17.02524,16.21237,15.83982,15.55406
1237648720145350937,153.438191172413,-0.877223498439447,18.91968,17.07107,16.22097,15.82899,15.52567
1237648720145350950,153.444304012602,-0.937966740924528,19.51415,17.96408,17.20963,16.86359,16.63306
1237648720145350953,153.448654542534,-0.973571996771045,19.93015,18.17168,17.35801,16.96521,16.6751
1237648720145350959,153.461165399685,-0.855534390872964,19.94818,17.9936,17.12424,16.70159,16.39913
1237648720145350970,153.472691437392,-0.876672195854837,18.75599,16.90385,16.03929,15.63451,15.31479
1237648720145350975,153.476208542844,-0.916554432576915,20.08112,18.3527,17.54881,17.16105,16.86981
1237654669200195625,153.373996798834,-0.815398061444298,19.84892,18.15578,17.34003,16.96635,16.72094
1237654669200195742,153.357238859387,-0.781666783641884,19.26726,17.43122,16.5411,16.09835,15.73643
1237648720145350666,153.417360858846,-0.91763700658147,18.87216,16.90273,16.02291,15.60531,15.26431
1237648720145350691,153.427711929093,-0.962939879734142,19.37712,18.50664,17.70099,17.3181,17.02622
1237648720145350723,153.444937765497,-0.913539878766434,17.75129,16.58705,15.90534,15.51079,15.14222
1237648720145350942,153.443409785148,-0.95147994814674,17.88187,16.07561,15.27064,14.90052,14.59562
1237648720145350669,153.370342599214,-0.923080752626438,18.86396,16.82316,15.96761,15.55138,15.21892
1237648720145350687,153.373010910558,-0.9243632144333,24.91839,18.54927,17.75487,17.3467,23.25088
1237648720145350791,153.375173943588,-0.851437960512685,20.04697,18.56634,17.88047,17.54462,17.34041
1237648720145350845,153.342190681105,-0.914485267016056,20.45171,18.75788,17.99321,17.60792,17.35795
1237648720145350851,153.348336794151,-0.892787767257802,18.90819,17.00936,16.15981,15.74504,15.4391
1237648720145350867,153.370809724054,-0.892402515266754,19.19244,17.24238,16.38214,15.97094,15.63765
1237648720145416288,153.509798588881,-0.891685474557746,19.10999,17.1925,16.28523,15.87091,15.53726
1237648720145416289,153.513217813478,-0.892922172081144,19.87273,18.14098,17.40933,17.08693,16.82367
1237648720145416454,153.499571138522,-0.925266343480694,18.99191,17.16595,16.30471,15.90678,15.58841
1237654669200261277,153.525241213053,-0.832508691650568,19.47932,17.71107,16.89752,16.51653,16.23081
1237648720145350758,153.34823757606,-0.901869441838321,18.88466,16.87591,15.99625,15.55652,15.26075
1237648720145350862,153.354209844329,-0.923487265522977,20.0461,17.99596,17.17854,16.79879,16.47896
1237648720145350889,153.39728726276,-0.887025737248951,19.55315,17.72673,16.92744,16.57593,16.26503
1237648720145350894,153.398754209809,-0.874475754531744,18.84623,17.0008,16.15159,15.74998,15.42374
