designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 66727234683931520",66727234683931520,56.76502117317897,24.159487376870935,7.276889102352219,19.333333440782077,-44.72484181110621,1.031376,13.826407,1.8952541,27.351875,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3661.8792,4.3926,-0.7103,136.8787,0.1607,0.1127,0.0624
"Gaia DR3 66727234683960320",66727234683960320,56.760485086776846,24.149991010998228,0.6880557489691174,0.8559145821449807,-1.5228321253975041,1.0780855,14.433147,0.7796774,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6978.4517,4.2349,-0.7801,1276.7793,0.6974,0.6068,0.3293
"Gaia DR3 66728265476081408",66728265476081408,56.73055847874693,24.187798191519004,7.225399757694413,20.392590515354556,-44.02063830180597,1.0476388,17.19236,3.5798693,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 66731868952898816",66731868952898816,56.681756374816054,24.25759493131949,2.7376350678654617,3.751006139223399,13.117437805184244,1.268441,13.840791,1.490591,51.05702,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 66731873248606720",66731873248606720,56.681187152863075,24.25686983592471,2.7011408689383796,4.402065095538521,12.643225939272062,1.0951227,13.06303,1.1401682,51.285843,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4980.919,4.2802,-0.7784,355.2146,0.2494,0.1995,0.1077
"Gaia DR3 65205373152172032",65205373152172032,56.58167144917715,23.94814381017594,7.067028703633884,13.075219935615861,-48.403789627642766,2.3298006,4.172742,-0.011190891,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 65205407509522048",65205407509522048,56.60054006638388,23.964347553884966,2.3263553766825043,79.89784321099961,-58.29154072017059,1.1394413,16.067194,1.6982126,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4391.737,4.503,-0.2464,581.0728,0.7456,0.5513,0.2936
"Gaia DR3 65210870709800192",65210870709800192,56.71779796180456,23.99364219168496,0.705576510637063,5.090161581180619,-3.8250163368673613,1.1228822,14.250961,0.8617306,-11.811193,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6366.87,4.1327,-0.1898,1306.1965,0.5558,0.4731,0.2559
"Gaia DR3 65211038211447552",65211038211447552,56.64547161564865,23.962745868399494,1.5352732133666955,7.1396536862091695,-0.3838299177673237,0.83103365,11.592597,0.768013,3.1209378,"VARIABLE",0,true,true,false,true,false,true,true,7289.1133,3.9328,-0.5759,618.3573,0.8558,0.7504,0.4056
"Gaia DR3 65211145587780992",65211145587780992,56.64972601817595,23.966825124571223,7.232270978962829,19.293091542047552,-44.06839315224453,1.0316483,13.736212,1.8533316,12.356402,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4099.0776,4.6289,0.0908,137.6756,0.649,0.4649,0.2536
"Gaia DR3 65211248666930432",65211248666930432,56.6392739434036,23.967603406206504,1.5186680291055157,5.772818205487699,-12.216473662334845,0.9881849,15.117565,1.3193645,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4905.2803,4.4645,0.0176,636.7157,0.551,0.43,0.2276
"Gaia DR3 65211386105879808",65211386105879808,56.661003602591975,23.995456779523277,0.4119287076362139,5.811580230663818,-3.2357616545207737,1.0647547,11.99279,1.6369028,-16.028557,"NOT_AVAILABLE",0,true,true,true,false,false,false,true,,,,,,,
"Gaia DR3 65211420466124288",65211420466124288,56.634053898829066,23.982728265065944,6.932438687098164,43.61427639813496,-58.19705442761651,1.0959525,12.771411,1.8954716,-4.888847,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4101.239,4.2668,0.1392,140.7819,0.718,0.514,0.2807
"Gaia DR3 65211454825357952",65211454825357952,56.646107982293714,23.991082876293536,0.5323400300911516,0.8042742477671592,-0.13021813763107992,1.028377,12.289089,1.3709955,30.190498,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5180.6733,2.783,-0.162,2018.7346,0.9304,0.7308,0.3899
"Gaia DR3 65211557904569856",65211557904569856,56.681723015516134,23.994936841909595,7.2862829876032436,20.502140434050677,-45.335559973427976,1.047322,15.067968,2.386301,-5.5990596,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3636.3413,4.7483,-0.068,133.6163,0.7892,0.5295,0.3185
"Gaia DR3 65211901502042624",65211901502042624,56.68349184207414,24.021785829502015,1.11954398508121,4.0390800844333,-10.290130850499539,1.141479,14.700344,1.0250978,16.518583,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5473.9194,4.4129,-0.3593,780.5145,0.3568,0.2923,0.1572
"Gaia DR3 65211970221426304",65211970221426304,56.67924072294607,24.029121948571415,1.7803371114382858,-0.8053797643888172,4.161263876458164,1.0344851,14.876299,1.2006779,7.059714,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5281.083,4.5705,-0.389,518.8415,0.6377,0.5112,0.2749
"Gaia DR3 65212004581252736",65212004581252736,56.6929147034245,24.042277781672432,2.2868827853564047,9.739961825283356,4.759063158766331,1.2216157,14.433508,1.3378916,10.600615,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4950.73,4.4639,-0.3599,433.9944,0.666,0.5217,0.2794
"Gaia DR3 65213172812266240",65213172812266240,56.74722551551796,24.02839263224941,7.1077553498191515,19.231314049232395,-43.90906851628049,1.1177913,16.13903,3.0877132,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3308.2004,4.4564,-0.394,142.1506,1.4772,0.9221,0.6144
"Gaia DR3 65213172812266752",65213172812266752,56.74283055817035,24.027995653471557,7.449628020763334,19.211601348098558,-43.36324766229127,0.95862824,17.144829,3.16395,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,3208.0637,4.9145,0.1093,138.4403,1.2054,0.7335,0.5139
"Gaia DR3 65213310251214336",65213310251214336,56.762334045605044,24.056597325822583,2.082082477616145,5.7045744474981115,3.6697225262085937,0.93914795,16.733076,1.9369049,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3677.5205,4.4129,-0.9286,425.4257,0.4606,0.3223,0.1763
"Gaia DR3 65213791287548288",65213791287548288,56.77476233611747,24.086583355774273,1.6050204515873066,9.209408213351837,-1.4663169459192351,1.0145903,15.56611,1.459302,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4568.008,4.4358,-0.3061,634.2589,0.5138,0.3901,0.2069
"Gaia DR3 65214031805717376",65214031805717376,56.74561610052,24.089174782613686,2.582120628672052,7.971808245349214,-10.467498717859929,1.1372167,11.940813,0.9701128,19.050314,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5624.1016,4.1083,-0.7468,383.4749,0.3656,0.3031,0.1647
"Gaia DR3 65214169244668032",65214169244668032,56.774901179558256,24.11165122923579,1.0515771271581424,4.671774553936928,-2.2963547907840907,1.0420121,15.764717,1.202714,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5064.821,4.4907,-0.1423,895.4993,0.4732,0.3751,0.1997
"Gaia DR3 65217222966811264",65217222966811264,56.577349984207224,23.983901774187085,7.590686889973629,19.0351746770752,-43.878986858575274,1.0145491,18.16214,2.987852,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,3028.5503,4.98,0.1271,160.7175,0.679,0.3999,0.2997
"Gaia DR3 65217326044027392",65217326044027392,56.52529124318867,23.97184934749192,7.797066786893609,19.115988612794247,-45.664066536947,0.94900244,18.280434,2.5997887,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,3058.162,5.0266,-0.0558,139.3482,1.0874,0.6426,0.4658
"Gaia DR3 65217433419838464",65217433419838464,56.563782858671104,23.9856326823898,1.4371124709385352,-0.8785864212073099,-0.058222193696120986,2.1630812,12.958048,1.1079292,-25.975584,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5372.6655,3.6137,-0.1295,996.8599,0.4663,0.3779,0.2023
